Prendendo	VER:geru
in	PRE
considerazione	NOM
le	DET:def
opere	NOM
fortificate	VER:pper
del	PRE:det
4°-3°	NOM
sec.	NOM
a.	NOM
C.	NPR
in	PRE
Magna	NOM
Grecia	NPR
,	PON
si	PRO:pers
analizzano	VER:pres
i	DET:def
circuiti	NOM
difensivi	ADJ
,	PON
il	DET:def
rapporto	NOM
delle	PRE:det
fortificazioni	NOM
con	PRE
l'	DET:def
impianto	NOM
urbano	ADJ
e	CON
il	DET:def
drenaggio	NOM
,	PON
la	DET:def
difesa	NOM
dei	PRE:det
fronti	NOM
di	PRE
mare	NOM
,	PON
la	DET:def
presenza	NOM
di	PRE
acropoli	NOM
,	PON
nonché	CON
le	DET:def
tecniche	NOM
costruttive	ADJ
nel	PRE:det
quadro	NOM
di	PRE
una	DET:indef
tradizione	NOM
architettonico-militare	ADJ
ben	ADV
consolidata	ADJ

