Da	KOUS
Livia	NE
in	APPR
Athen	NE
bereits	ADV
während	APPR
der	ART
Regierungszeit	NN
von	APPR
Augustus	NE
und	KON
Tiberius	NE
verehrt	VVPP
wurde	VAFIN
,	$,
besteht	VVFIN
kein	PIAT
Anlass	NN
,	$,
diese	PDAT
Inschrift	NN
aus	APPR
Rhamnous	NE
erst	ADV
in	APPR
claudische	ADJA
Zeit	NN
zu	PTKZU
datieren	VVINF
.	$.

Vielmehr	ADV
sprechen	VVFIN
der	ART
Name	NN
«	$(
Thea	NE
Livia	NE
»	$(
(	$(
der	ART
in	APPR
die	ART
erste	ADJA
ihrer	PPOSAT
drei	CARD
Namensphasen	NN
passt	VVFIN
)	$(
und	KON
Überlegungen	NN
zu	APPR
den	ART
genannten	ADJA
Personen	NN
für	APPR
eine	ART
frühere	ADJA
Datierung	NN
unter	APPR
Augustus	NE
,	$,
eventuell	ADJD
in	APPR
die	ART
erste	ADJA
Hälfte	NN
seiner	PPOSAT
Regierung	NN
.	$.

