Das	PDS
zuerst	ADV
von	APPR
F.	NE
Fernández	NE
(	$(
=	$(
AE	NE
1991	CARD
,	$,
1020	ADJA
)	$(
publizierte	ADJA
Fragment	NN
eines	ART
Kolonialgesetzes	NN
unbekannter	ADJA
Herkunft	NN
,	$,
das	PRELS
hier	ADV
nebst	APPR
den	ART
Ergebnissen	NN
der	ART
metallurgischen	ADJA
Analyse	NN
erneut	ADJD
publiziert	VVPP
wird	VAFIN
,	$,
kann	VMFIN
aufgrund	APPR
weitgehender	ADJA
Übereinstimmungen	NN
mit	APPR
den	ART
Bronzetafeln	NN
von	APPR
Genetiua	NE
Iulia	NE
(	$(
Urso	NN
)	$(
wohl	ADV
dort	ADV
lokalisiert	VVPP
werden	VAINF
.	$.

Die	ART
Rekonstruktion	NN
des	ART
Textes	NN
macht	VVFIN
wahrscheinlich	ADJD
,	$,
dass	KOUS
es	PPER
sich	PRF
um	APPR
den	ART
Entwurf	NN
des	ART
Gesetzes	NN
handelt	VVFIN
.	$.

