Dopo	ADV
aver	VER:infi
ripercorso	VER:pper
la	DET:def
storia	NOM
dell'	PRE:det
iscrizione	NOM
dell'	PRE:det
Arco	NOM
di	PRE
Augusto	NOM
a	PRE
Fano	NOM
(	PON
CIL	NOM
11	NUM
,	PON
6218-6219	NUM
=	NOM
ILS	NOM
104	NUM
e	CON
106	NUM
)	PON
e	CON
degli	PRE:det
studi	NOM
del	PRE:det
Costanzi	NOM
,	PON
si	PRO:refl
prendono	VER:pres
in	PRE
esame	NOM
due	ADJ
lettere	NOM
inedite	ADJ
contenute	VER:pper
nel	PRE:det
ms.	NOM
Firenze	NPR
,	PON
BNC	NOM
,	PON
Magliab	NOM
.	SENT

XXVIII	NUM
,	PON
29	NUM
,	PON
f.	NOM
23r	NOM
e	CON
24-25	NUM
(	PON
codice	NOM
che	PRO:rela
tramanda	VER:pres
il	DET:def
testo	NOM
di	PRE
molte	PRO:indef
iscrizioni	NOM
latine	ADJ
)	PON
,	PON
che	PRO:rela
testimoniano	VER:pres
dell'	PRE:det
interesse	NOM
dei	PRE:det
discendenti	NOM
del	PRE:det
Costanzi	NOM
,	PON
Jacopo	NOM
e	CON
Lelio	NOM
Torelli	NOM
,	PON
per	PRE
il	DET:def
patrimonio	NOM
epigrafico	ADJ
fanese	ADJ
,	PON
in	PRE
particolare	NOM
per	PRE
le	DET:def
iscrizioni	NOM
della	PRE:det
corte	NOM
dei	PRE:det
Priori	NOM
di	PRE
CIL	NOM
11	NUM
,	PON
6232	NUM
e	CON
6238	NUM
(	PON
la	DET:def
trascrizione	NOM
del	PRE:det
cui	PRO:rela
testo	NOM
venne	VER:remo
richiesta	VER:pper
dal	PRE:det
Borghini	NOM
nell'	PRE:det
ambito	NOM
dei	PRE:det
suoi	PRO:poss
studi	NOM
sull'	PRE:det
origine	NOM
romana	ADJ
di	PRE
Firenze	NPR
)	PON
e	CON
per	PRE
le	DET:def
epigrafi	NOM
di	PRE
due	ADJ
pretoriani	NOM
di	PRE
CIL	NOM
6	NUM
,	PON
2379a	NOM
e	CON
2379b	NOM

