Publication	VLfin
de	PREP
papyrus	NC
grecs	ADJ
:	COLON
(	LP
EES	ADJ
)	RP
PMisc	NP
.	FS
inv.	NC
3	CARD
,	CM
8a	NP
(	LP
4e	NC
s.	NC
)	RP
;	SEMICOLON
(	LP
EES	NC
)	RP
PMisc	NP
.	FS
inv.	NC
2	CARD
,	CM
99a	NP
(	LP
320	CARD
apr.	NC
J.	NP
-C	NC
.	FS
)	RP
;	SEMICOLON
(	LP
Bodl	NC
.	FS
)	RP
MS	ACRNM
.	FS

Gr.	NP
class	PE
.	FS

d	PE
36b	NC
(	LP
P)3	NP
(	LP
353	CARD
apr.	NC
J.	NP
-C	NC
)	RP
;	SEMICOLON
(	LP
EES	NC
)	RP
PMisc	NP
.	FS
inv.	NC
2	CARD
,	CM
179b	NC
(	LP
380	CARD
apr.	NC
J.	NP
-C	NC
)	RP
;	SEMICOLON
(	LP
Bodl	NC
.	FS
)	RP
MS	ACRNM
.	FS

Gr.	NP
class	PE
.	FS

f	ALFS
34	CARD
(	LP
P)4	NP
(	LP
528-529	CARD
)	RP
;	SEMICOLON
(	LP
EES	NC
)	RP
PMisc	NP
.	FS
inv.	NC
2	CARD
,	CM
211b	NC
(	LP
611-619	CARD
)	RP

