Sont	VER:pres
ici	ADV
envisagés	VER:pper
les	DET:ART
débuts	NOM
de	PRP
l'	DET:ART
histoire	NOM
de	PRP
Rome	NAM
,	PUN
les	DET:ART
rois	NOM
étrusques	ADJ
,	PUN
Tarquin	NAM
l'	DET:ART
Ancien	NAM
,	PUN
son	DET:POS
intégration	NOM
à	PRP
la	DET:ART
citoyenneté	NOM
romaine	ADJ
,	PUN
sa	DET:POS
carrière	NOM
,	PUN
les	DET:ART
découvertes	NOM
archéologiques	ADJ
et	KON
épigraphiques	ADJ
le	PRO:PER
concernant	VER:ppre
,	PUN
les	DET:ART
«	PUN:cit
gentes	ADJ
»	PUN:cit
et	KON
leur	DET:POS
armée	NOM
de	PRP
clients	NOM
,	PUN
le	DET:ART
forum	NOM
romain	ADJ
et	KON
la	DET:ART
Regia	NAM
,	PUN
Servius	NAM
Tullius	NAM
,	PUN
sa	DET:POS
dévotion	NOM
à	PRP
Fortuna	NAM
,	PUN
les	DET:ART
temples	NOM
de	PRP
Fortuna	NAM
et	KON
Mater	NAM
Matuta	VER:simp
au	PRP:det
Forum	NAM
Boarium	NAM
,	PUN
le	DET:ART
thème	NOM
de	PRP
l'	DET:ART
hiérogamie	NOM
,	PUN
l'	DET:ART
invention	NOM
de	PRP
la	DET:ART
monnaie	NOM
,	PUN
la	DET:ART
tombe	NOM
et	KON
la	DET:ART
maison	NOM
de	PRP
Servius	NAM
,	PUN
Tarquin	NAM
le	DET:ART
Superbe	NAM
,	PUN
ses	DET:POS
travaux	NOM
,	PUN
son	DET:POS
entourage	NOM
.	SENT

Pour	PRP
1	NUM
=>	ABR
74-11888	NUM

