Il	DET:def
sacrificio	NOM
degli	PRE:det
Spartani	NOM
alle	PRE:det
Termopili	NOM
induce	VER:pres
a	PRE
riflettere	VER:infi
sul	PRE:det
contributo	NOM
di	PRE
Sparta	NOM
alla	PRE:det
cultura	NOM
greca	ADJ
e	CON
di	PRE
questa	PRO:demo
alla	PRE:det
civiltà	NOM
occidentale	ADJ
(	PON
nella	PRE:det
dimensione	NOM
agonistica	ADJ
,	PON
nel	PRE:det
concetto	NOM
e	CON
nell'	PRE:det
ideale	NOM
di	PRE
libertà	NOM
,	PON
nel	PRE:det
senso	NOM
critico	ADJ
)	PON
e	CON
in	PRE
generale	ADJ
apre	VER:pres
a	PRE
considerazioni	NOM
su	PRE
interesse	NOM
culturale	ADJ
e	CON
valore	NOM
dello	PRE:det
studio	NOM
storico	ADJ
di	PRE
Sparta	NOM

