Examines	VBZ
the	DT
emerging	VBG
scholarly	JJ
consensus	NN
that	IN
substantial	JJ
numbers	NNS
of	IN
non-elite	NP
Athenians	NP
participated	VBD
in	IN
the	DT
tribally	RB
organised	VBN
dithyrambic	JJ
competitions	NNS
of	IN
late	JJ
archaic	JJ
and	CC
classical	JJ
Athens	NP
,	,
shedding	VBG
new	JJ
light	NN
on	IN
the	DT
reasons	NNS
for	IN
the	DT
introduction	NN
of	IN
these	DT
choral	JJ
competitions	NNS
into	IN
the	DT
Great	NP
Dionysia	NP
of	IN
the	DT
late	JJ
sixth	JJ
century	NN
,	,
and	CC
the	DT
roles	NNS
they	PP
played	VBD
in	IN
the	DT
overall	JJ
reform	NN
program	NN
of	IN
Kleisthenes	NP
.	SENT

