Based	VBN
on	IN
the	DT
evidence	NN
of	IN
a	DT
Latin	JJ
inscription	NN
(	(
CIL	NP
2	CD
,	,
1956	CD
=	SYM
ILS	NP
,	,
5512	CD
,	,
c.	FW
AD	NP
70	CD
)	)
,	,
studies	VBZ
the	DT
life	NN
and	CC
contributions	NNS
of	IN
Iunia	NP
Rustica	NP
,	,
a	DT
prominent	JJ
priestess	NN
from	IN
Cartima	NP
in	IN
Roman	NP
Spain	NP
,	,
assessing	VBG
her	PP$
record	NN
of	IN
municipal	JJ
beneficence	NN
within	IN
the	DT
broader	JJR
context	NN
of	IN
gender	NN
relations	NNS
,	,
religion	NN
,	,
and	CC
family	NN
during	IN
the	DT
Principate	NN

