Basándose	VCLIger
en	PREP
las	ART
fuentes	NC
literarias	ADJ
,	CM
como	CSUBX
Dión	NC
Crisóstomo	NP
y	CC
Plutarco	NP
,	CM
y	CC
en	PREP
los	ART
testimonios	NC
arqueológicos	ADJ
,	CM
se	SE
describe	VLfin
el	ART
período	NC
de	PREP
crisis	NC
que	CQUE
sufrió	VLfin
el	ART
mundo	NC
griego	ADJ
tras	PREP
la	ART
conquista	VLfin
romana	VLfin
,	CM
y	CC
cómo	ADV
con	PREP
Trajano	NC
empiezan	VLfin
a	PREP
vislumbrarse	VLinf
nuevas	ADJ
vías	NC
para	PREP
la	ART
situación	NC
social	ADJ
y	CC
económica	ADJ
en	PREP
Grecia	NP
.	FS

Se	SE
inicia	VLfin
una	ART
nueva	ADJ
etapa	NC
en	PREP
la	ART
participación	NC
griega	ADJ
en	PREP
el	ART
gobierno	NC
romano	VLfin
y	CC
se	SE
vuelve	VLfin
a	PREP
establecer	VLinf
de	PREP
manera	NC
sólida	ADJ
y	CC
duradera	ADJ
el	ART
contacto	NC
entre	PREP
los	ART
emperadores	NC
y	CC
Grecia	NP
.	FS

