Si bien	CSUBF
el	ART
mundo	NC
aqueménida	VLadj
ha	VHfin
sido	VSadj
tratado	VLadj
más	ADV
benévolamente	ADV
por	PREP
los	ART
estudiosos	ADJ
,	CM
los	ART
mundos	NC
seléucida	VLadj
,	CM
parto	VLfin
y	CC
sasánida	ADJ
han	VHfin
sido	VSadj
despreciados	VLadj
a lo largo de	PREP
los	ART
años	NC
por	PREP
arqueólogos	NC
que	CQUE
buscaban	VLfin
los	ART
niveles	NC
más	ADV
antiguos	ADJ
considerados	ADJ
como	ADV
más	ADV
prestigiosos	ADJ
,	CM
y	CC
levantaban	VLfin
sin	PREP
ninguna	QU
consideración	NC
específica	ADJ
los	ART
niveles	NC
más	ADV
tardíos	ADJ
.	FS

Se	SE
hace	VLfin
un	ART
rápido	ADJ
recorrido	VLadj
por	PREP
la	ART
historia	NC
de	PREP
Oriente	NC
entre	PREP
los	ART
siglos	NC
7°	NC
a.	NC
C.	ACRNM
y	CC
7°	NC
d.	NC
C.	ACRNM
:	COLON
el	ART
origen	NC
de	PREP
los	ART
grandes	ADJ
imperios	NC
;	SEMICOLON
el	ART
imperio	NC
persa	ADJ
aqueménida	VLadj
;	SEMICOLON
la	ART
llegada	NC
de	PREP
Alejandro	NP
Magno	NP
y	CC
la	ART
consolidación	NC
del	PDEL
cosmopolitismo	NC
;	SEMICOLON
los	ART
imperios	NC
seleúcida	VLadj
,	CM
parto	VLfin
y	CC
sasánida	ADJ
.	FS

