When	WRB
Vespasian	NP
took	VBD
the	DT
throne	NN
in	IN
A.	NP
D.	NP
69	CD
,	,
he	PP
was	VBD
faced	VBN
with	IN
the	DT
challenge	NN
of	IN
setting	VBG
up	RP
a	DT
program	NN
of	IN
recovery	NN
after	IN
the	DT
civil	JJ
war	NN
;	:
the	DT
degree	NN
of	IN
his	PP$
perceived	VBN
success	NN
is	VBZ
evident	JJ
from	IN
the	DT
praise	NN
accorded	VBD
to	TO
him	PP
by	IN
Tacitus	NP
(	(
Hist.	NP
1	CD
,	,
50	CD
,	,
4	CD
)	)
.	SENT

Two	CD
major	JJ
monuments	NNS
in	IN
Britain	NP
merit	NN
consideration	NN
with	IN
regard	NN
to	TO
the	DT
new	JJ
regime	NN
's	POS
intent	NN
to	TO
establish	VB
auctoritas	NNS
:	:
the	DT
Temple	NP
of	IN
Diuus	NP
Claudius	NP
at	IN
Colchester	NP
and	CC
the	DT
Monument	NN
at	IN
Richborough	NP
.	SENT

Although	IN
the	DT
building	NN
program	NN
of	IN
the	DT
Temple	NP
of	IN
Claudius	NP
began	VBD
before	IN
the	DT
reign	NN
of	IN
Vespasian	NP
,	,
its	PP$
completion	NN
under	IN
his	PP$
reign	NN
would	MD
have	VB
contributed	VBN
to	TO
Vespasian	NP
's	POS
auctoritas	NNS
in	IN
Britain	NP
.	SENT

On	IN
the	DT
other	JJ
hand	NN
,	,
although	IN
Vespasian	NP
is	VBZ
likely	JJ
to	TO
have	VB
initiated	VBN
the	DT
building	NN
of	IN
the	DT
Monument	NN
at	IN
Richborough	NP
,	,
he	PP
was	VBD
unable	JJ
to	TO
complete	VB
it	PP
.	SENT

Domitian	NP
eventually	RB
resumed	VBD
Vespasian	NP
's	POS
military	JJ
agenda	NN
in	IN
Britain	NP
,	,
culminating	VBG
in	IN
the	DT
battle	NN
of	IN
Mons	NP
Graupius	NP
in	IN
A.	NP
D.	NP
83.	CD

Although	IN
many	JJ
may	MD
have	VB
taken	VBN
a	DT
harsh	JJ
view	NN
of	IN
Domitian	NP
's	POS
political	JJ
agenda	NN
and	CC
its	PP$
effects	NNS
in	IN
Britain	NP
,	,
Domitian	NP
took	VBD
the	DT
opportunity	NN
provided	VBN
by	IN
the	DT
Richborough	NP
Monument	NP
to	TO
place	VB
his	PP$
own	JJ
gloss	NN
on	IN
the	DT
events	NNS
with	IN
a	DT
subsidiary	NN
inscription	NN
:	:
«	)
Perdomita	NP
Britannia	NP
»	(
.	SENT

