Uno	CARD
de	PREP
los	ART
asuntos	NC
más	ADV
controvertidos	VLadj
de	PREP
la	ART
historia	NC
de	PREP
Hispania	NP
es	VSfin
aquel	DM
que	CQUE
gira	VLfin
en	PREP
torno	NC
a	PREP
la	ART
capitalidad	NC
de	PREP
la	ART
Citerior	NC
y	CC
,	CM
más	ADV
concretamente	ADV
,	CM
al	PAL
momento	NC
a partir del	PDEL
cual	REL
podemos	VLfin
considerar	VLinf
a	PREP
Tarraco	NC
como	ADV
capital	ADJ
de	PREP
esta	DM
provincia	NC
que	CQUE
en	PREP
época	NC
imperial	ADJ
adquiriría	VLfin
,	CM
significativamente	ADV
,	CM
el	ART
apelativo	NC
de	PREP
Tarraconensis	NC
.	FS

