Rhodes	NAM
est	VER:pres
une	DET:ART
cité	NOM
conservatrice	ADJ
des	PRP:det
traditions	NOM
doriennes	ADJ
et	KON
a	VER:pres
longtemps	ADV
refusé	VER:pper
l'	DET:ART
onomastique	NOM
romaine	ADJ
,	PUN
comme	ADV
d'	PRP
autres	ADJ
traits	NOM
de	PRP
la	DET:ART
romanité	NOM
.	SENT

C'	PRO:DEM
est	VER:pres
au	PRP:det
milieu	NOM
du	PRP:det
1er	NUM
s.	ABR
apr.	ABR
J.	ABR
-C	ADJ
.	SENT

qu'	KON
est	VER:pres
attesté	VER:pper
le	DET:ART
premier	NUM
Rhodien	ADJ
porteur	NOM
d'	PRP
un	DET:ART
gentilice	NOM
romain	ADJ
et	KON
que	PRO:REL
commence	VER:pres
la	DET:ART
diffusion	NOM
des	PRP:det
noms	NOM
romains	ADJ

