Includes	VBZ
discussion	NN
of	IN
the	DT
use	NN
of	IN
Greek	NP
in	IN
Late	NP
Antique	NP
Syria	NP
and	CC
Palestine	NP
.	SENT

The	DT
use	NN
of	IN
Greek	NP
prevailed	VBD
where	WRB
the	DT
Hellenized	VBN
elite	JJ
held	JJ
sway	NN
in	IN
Palestine	NP
,	,
Southern	NP
Syria	NP
and	CC
Transjordan	NP
,	,
while	IN
Aramaic	JJ
was	VBD
more	RBR
prevalent	JJ
in	IN
North	NP
Syria	NP
and	CC
Mesopotamia	NP
.	SENT

Considerations	NNS
on	IN
the	DT
translation	NN
of	IN
Greek	JJ
scientific	JJ
and	CC
philosophical	JJ
texts	NNS
from	IN
Greek	NP
via	IN
Syriac	NP
to	TO
Arabic	NP
under	IN
the	DT
Abbasid	NP
dynasty	NN
(	(
8th-10th	JJ
cent	NN
.	SENT
A.	NP
D.	NP
)	)

