Delphes	NAM
est	VER:pres
un	DET:ART
cas	NOM
privilégié	VER:pper
pour	PRP
l'	DET:ART
étude	NOM
du	PRP:det
paysage	NOM
,	PUN
grâce	NOM
à	PRP
la	DET:ART
multiplicité	NOM
des	PRP:det
sources	NOM
disponibles	ADJ
et	KON
des	PRP:det
enjeux	NOM
historiques	ADJ
qui	PRO:REL
lui	PRO:PER
sont	VER:pres
liés	VER:pper
.	SENT

Il	PRO:PER
est	VER:pres
possible	ADJ
de	PRP
montrer	VER:infi
que	KON
le	DET:ART
schéma	NOM
d'	PRP
exploitation	NOM
du	PRP:det
finage	NOM
delphique	ADJ
a	VER:pres
connu	VER:pper
plusieurs	PRO:IND
renversements	NOM
dans	PRP
la	DET:ART
répartition	NOM
des	PRP:det
zones	NOM
réservées	VER:pper
aux	PRP:det
pâturages	NOM
et	KON
aux	PRP:det
cultures	NOM
.	SENT

On	PRO:PER
peut	VER:pres
ainsi	ADV
éclairer	VER:infi
les	DET:ART
particularités	NOM
d'	PRP
une	DET:ART
économie	NOM
traditionnelle	ADJ
remodelée	VER:pper
par	PRP
la	DET:ART
présence	NOM
du	PRP:det
sanctuaire	NOM

