Discusses	VBZ
a	DT
few	JJ
new	JJ
items	NNS
of	IN
evidence	NN
(	(
both	CC
archaeological	JJ
and	CC
from	IN
Greek	JJ
and	CC
Latin	JJ
epigraphy	NN
)	)
that	IN
either	RB
contribute	VB
or	CC
may	MD
contribute	VB
to	TO
our	PP$
limited	JJ
knowledge	NN
of	IN
the	DT
history	NN
of	IN
Jews	NPS
in	IN
Roman	NP
Spain	NP
.	SENT

Attempts	NNS
to	TO
link	VB
these	DT
items	NNS
to	TO
the	DT
well-known	JJ
primary	JJ
evidence	NN
,	,
to	TO
add	VB
some	DT
considerations	NNS
with	IN
respect	NN
to	TO
the	DT
latter	NN
,	,
and	CC
to	TO
present	VB
an	DT
up-to-date	JJ
assesssment	NN
of	IN
controversially	RB
discussed	VBN
material	NN
,	,
thus	RB
providing	VBG
a	DT
fresh	JJ
survey	NN
of	IN
Jewish	JJ
presence	NN
in	IN
Roman	NP
Spain	NP

