Beginning	VBG
from	IN
the	DT
Late	JJ
Bronze	NP
Age	NP
,	,
links	VBZ
between	IN
the	DT
Aegean	JJ
world	NN
and	CC
the	DT
North	JJ
African	JJ
coast	NN
remained	VBD
unbroken	JJ
except	IN
perhaps	RB
for	IN
an	DT
interlude	NN
after	IN
the	DT
foundation	NN
of	IN
the	DT
Phoenician	JJ
colonies	NNS
between	IN
the	DT
Gulf	NP
of	IN
Syrte	NP
and	CC
what	WP
is	VBZ
now	RB
Tunisia	NP
.	SENT

The	DT
example	NN
of	IN
Cyrene	NP
is	VBZ
one	CD
of	IN
the	DT
most	RBS
clear-cut	JJ
.	SENT

Even	RB
though	IN
the	DT
paucity	NN
of	IN
finds	NNS
and	CC
their	PP$
provenance	NN
from	IN
infill	NN
call	NN
for	IN
caution	NN
,	,
reanalysis	NN
of	IN
the	DT
archaeological	JJ
record	NN
sheds	NNS
light	JJ
on	IN
the	DT
Phoenician	JJ
colonial	JJ
process	NN
.	SENT

The	DT
reanalysis	NN
should	MD
not	RB
be	VB
restricted	VBN
by	IN
conventional	JJ
chronology	NN
,	,
and	CC
should	MD
encourage	VB
us	PP
to	TO
reconsider	VB
other	JJ
accepted	JJ
ideas	NNS
about	IN
the	DT
growth	NN
of	IN
the	DT
original	JJ
settlement	NN
and	CC
the	DT
links	NNS
between	IN
the	DT
Battiad	NP
royal	NN
family	NN
and	CC
other	JJ
members	NNS
of	IN
the	DT
Cyrenaican	NP
community	NN
.	SENT

