Aunque	CSUBX
no	NEG
se	SE
aprecia	VLfin
una	ART
ruptura	NC
brusca	ADJ
entre	PREP
la	ART
cultura	NC
galaica	ADJ
y	CC
la	PPC
romana	VLfin
,	CM
sí	ADV
se	SE
observan	VLfin
algunos	QU
cambios	NC
significativos	ADJ
,	CM
patentes	VLfin
sobre todo	ADV
en	PREP
la	ART
dieta	NC
cárnica	ADJ
de	PREP
la	ART
Galicia	NP
romanizada	ADJ
(	LP
reducción	NC
del	PDEL
consumo	NC
de	PREP
ganado	NC
ovino	ADJ
,	CM
aumento	NC
de	PREP
la	ART
variedad	NC
de	PREP
especies	NC
de	PREP
caza	NC
)	RP
,	CM
así como	CSUBF
en	PREP
la	ART
intensificación	NC
y	CC
extensión	NC
del	PDEL
consumo	NC
de	PREP
productos	NC
marinos	NC
.	FS

La	ART
evolución	NC
que	CQUE
supone	VLfin
la	ART
asimilación	NC
de	PREP
nuevos	ADJ
gustos	NC
conlleva	VLfin
asimismo	ADV
una	ART
evolución	NC
en	PREP
las	ART
piezas	NC
cerámicas	NC
utilizadas	VLadj
en	PREP
la	ART
cocina	NC

