Veintitrés	CARD
inscripciones	NC
procedentes	VLadj
de	PREP
Lusitania	NP
(	LP
especialmente	ADV
,	CM
de	PREP
la	ART
actual	ADJ
provincia	NC
de	PREP
Cáceres	NP
)	RP
,	CM
las	ART
cuales	REL
datan	VLfin
probablemente	ADV
del	PDEL
siglo	NC
2°	NC
d.	NC
C.	ACRNM
,	CM
registran	VLfin
las	ART
citadas	VLadj
advocaciones	NC
de	PREP
Júpiter	NP
,	CM
de	PREP
las	ART
que	CQUE
no	NEG
existe	VLfin
referencia	NC
alguna	QU
en	PREP
otro	QU
tipo	NC
de	PREP
fuente	NC
ni	CCNEG
en	PREP
la	ART
epigrafía	NC
de	PREP
otras	QU
regiones	NC
del	PDEL
Imperio	NC
.	FS

Estas	DM
formas	NC
de	PREP
culto	ADJ
,	CM
en	PREP
que	CQUE
debieron	VLfin
de	CSUBI
confluir	VLinf
elementos	NC
tanto	ADV
indígenas	ADJ
como	ADV
romanos	ADJ
,	CM
fueron	VSfin
practicadas	VLadj
por	PREP
gentes	NC
de	PREP
origen	NC
humilde	ADJ
en	PREP
un	ART
área	NC
profundamente	ADV
romanizada	ADJ

