Es	VSfin
muy	ADV
llamativa	ADJ
la	ART
situación	NC
lingüística	ADJ
de	PREP
Egipto	NP
,	CM
en particular	ADV
desde	PREP
la	ART
llegada	NC
de	PREP
los	ART
griegos	NC
,	CM
situación	NC
que	CQUE
se	SE
va	VLfin
haciendo	VLger
más	ADV
y	CC
más	ADV
compleja	ADJ
con	PREP
el	ART
paso	NC
del	PDEL
tiempo	NC
y	CC
a medida que	CSUBF
nuevas	ADJ
situaciones	NC
políticas	ADJ
y	CC
sociales	ADJ
vienen	VLfin
a	PREP
alterarla	NC
.	FS

Se	SE
ofrece	VLfin
una	ART
primera	ORD
aproximación	NC
a	PREP
esta	DM
situación	NC
lingüística	ADJ
,	CM
en particular	ADV
en	PREP
el	ART
ámbito	NC
monástico	ADJ
de	PREP
los	ART
siglos	NC
4°-5°	NC
.	FS

Diversos	QU
testimonios	NC
grecolatinos	ADJ
apuntan	VLfin
a	PREP
la	ART
existencia	NC
de	PREP
intérpretes	NC
,	CM
de	PREP
grupos	NC
organizados	VLadj
por	PREP
lenguas	NC
en	PREP
los	ART
monasterios	NC
y	CC
de	PREP
una	ART
cierta	QU
presión	NC
para	CSUBI
aprender	VLinf
el	ART
copto	NC
en	PREP
ellos	PPX
.	FS

Sin	PREP
tener	VLinf
en	PREP
cuenta	NC
la	ART
importancia	NC
de	PREP
estos	DM
fenómenos	NC
sociolingüísticos	ADJ
,	CM
no	NEG
se	SE
pueden	VMfin
valorar	VLinf
con	PREP
exactitud	NC
los	ART
textos	NC
documentales	ADJ
y	CC
literarios	ADJ
que	CQUE
nos	PPX
han	VHfin
llegado	VLadj

