Teniéndose	VCLIger
en	PREP
cuenta	NC
el	ART
marco	NC
geográfico	ADJ
y	CC
étnico	ADJ
de	PREP
la	ART
Hispania	NP
indoeuropea	ADJ
,	CM
y	CC
partiéndose	VLadj
de	PREP
la	ART
documentación	NC
epigráfica	ADJ
latina	ADJ
,	CM
se	SE
ofrece	VLfin
un	ART
esbozo	NC
sobre	PREP
la	ART
tipología	NC
y	CC
la	ART
geografía	NC
cultual	ADJ
de	PREP
las	ART
divinidades	NC
indígenas	ADJ
hispanas	ADJ
.	FS

Por	PREP
otra	QU
parte	NC
,	CM
se	SE
reflexiona	VLfin
acerca de	PREP
cómo	ADV
la	ART
implantación	NC
y	CC
la	ART
extensión	NC
del	PDEL
modelo	NC
de	PREP
la	ART
«	SYM
ciuitas	NC
»	SYM
romana	VLfin
transformó	VLfin
la	ART
organización	NC
social	ADJ
y	CC
el	ART
panteón	NC
de	PREP
los	ART
pueblos	NC
indígenas	ADJ

