Ausgehend	ADJD
von	APPR
einer	ART
Beschreibung	NN
von	APPR
Herkunft	NN
,	$,
römischer	ADJA
Adaption	NN
,	$,
gesellschaftlicher	ADJA
Emanzipation	NN
und	KON
inhaltlicher	ADJA
Tätigkeit	NN
des	ART
«	$(
Grammaticus	NE
»	$(
wird	VAFIN
das	ART
Weiterleben	NN
des	ART
heidnischen	ADJA
Bildungssystems	NN
im	APPRART
christlichen	ADJA
Staat	NN
untersucht	VVPP
.	$.

Der	ART
weitverbreiteten	ADJA
Ansicht	NN
,	$,
dass	KOUS
es	PPER
im	APPRART
Westen	NN
einen	ART
Gegensatz	NN
zwischen	APPR
christlichem	ADJA
und	KON
heidnischem	ADJA
Schulwesen	NN
gegeben	VVPP
habe	VAFIN
,	$,
widersprechen	VVFIN
nicht	PTKNEG
nur	ADV
die	ART
spätere	ADJA
Entwicklung	NN
,	$,
sondern	KON
auch	ADV
die	ART
Befunde	NN
in	APPR
einem	ART
unter	APPR
dem	ART
Namen	NN
des	ART
«	$(
Isidorus	NE
Iunior	NN
»	$(
überlieferten	VVFIN
«	$(
Grammaticus	NE
»-Lehrbuch	NN
(	$(
ed.	TRUNC
U.	KON
Schindel	NN
im	APPRART
Anhang	NN
zu	APPR
=>	ADJA
APh	NN
46	CARD
,	$,
p.	APPR
381	CARD
)	$(
.	$.

Dieses	PDS
verbindet	VVFIN
Beispiele	NN
aus	APPR
klassischen	ADJA
Autoren	NN
mit	APPR
solchen	PIS
aus	APPR
der	ART
Bibel	NN
und	KON
von	APPR
christlichen	ADJA
Autoren	NN
.	$.

