Two	CD
aspects	NNS
of	IN
the	DT
winter	NN
season	NN
depicted	VBN
in	IN
Roman	NP
and	CC
late	JJ
antique	JJ
art	NN
,	,
namely	RB
its	PP$
productivity	NN
and	CC
its	PP$
festive	JJ
side	NN
,	,
are	VBP
investigated	VBN
,	,
as	RB
well	RB
as	IN
some	DT
of	IN
its	PP$
religious	JJ
customs	NNS
.	SENT

A	DT
personification	NN
with	IN
attributes	NNS
is	VBZ
the	DT
favored	JJ
artistic	JJ
form	NN
,	,
although	IN
other	JJ
imagery	NN
,	,
including	VBG
vignettes	NNS
of	IN
rural	JJ
life	NN
and	CC
images	NNS
of	IN
laboring	VBG
«	)
putti	NNS
»	(
and	CC
of	IN
baskets	NNS
of	IN
fruit	NN
are	VBP
also	RB
found	VBN
,	,
especially	RB
in	IN
the	DT
media	NNS
of	IN
mosaic	NN
pavements	NNS
and	CC
marble	NN
sarcophagi	NNS
.	SENT

