On	RB
:	:
the	DT
range	NN
of	IN
symbolic	JJ
associations	NNS
surrounding	VBG
the	DT
relief	NN
sculpture	NN
of	IN
Demokratia	NP
crowning	VBG
the	DT
Athenian	JJ
Demos	NP
that	WDT
accompanied	VBD
the	DT
law	NN
proposed	VBN
by	IN
Eukrates	NNS
against	IN
the	DT
establishment	NN
of	IN
tyranny	NN
(	(
SEG	NP
12	CD
,	,
87	CD
)	)
;	:
the	DT
various	JJ
communities	NNS
and	CC
individuals	NNS
who	WP
invested	VBD
in	IN
it	PP
;	:
and	CC
the	DT
role	NN
of	IN
personifications	NNS
in	IN
political	JJ
allegory	NN
.	SENT

This	DT
analysis	NN
shows	NNS
both	CC
the	DT
potency	NN
of	IN
personifying	VBG
representations	NNS
of	IN
the	DT
Athenian	JJ
people	NNS
and	CC
the	DT
interpretive	JJ
complexities	NNS
that	IN
they	PP
create	VBP
.	SENT

