L'	DET:def
antichità	NOM
del	PRE:det
mito	NOM
relativo	ADJ
al	PRE:det
duello	NOM
tra	PRE
Achille	NPR
e	CON
Memnone	NOM
è	VER:pres
confermata	VER:pper
dalla	PRE:det
sua	PRO:poss
riproduzione	NOM
su	PRE
un'	DET:indef
anfora	NOM
melia	NOM
della	PRE:det
metà	NOM
del	PRE:det
7°	NOM
sec.	NOM
(	PON
Atene	NPR
,	PON
Museo	NOM
Naz.	ABR
,	PON
3961	NUM
)	PON
e	CON
su	PRE
un	DET:indef
vaso	NOM
attico	NOM
dell'	PRE:det
inizio	NOM
del	PRE:det
7°	NOM
sec.	NOM
(	PON
Monaco	NOM
,	PON
8936	NUM
)	PON
.	SENT

Analisi	NOM
iconografica	ADJ
e	CON
interpretazione	NOM
delle	PRE:det
scene	NOM
lì	ADV
raffigurate	VER:pper
,	PON
concetti	NOM
delle	PRE:det
quali	PRO:rela
si	PRO:refl
riconoscono	VER:pres
già	ADV
in	PRE
un	DET:indef
affresco	NOM
di	PRE
Micene	NOM
risalente	VER:ppre
all'	PRE:det
Età	NOM
del	PRE:det
Bronzo	NOM
(	PON
area	NOM
cultuale	ADJ
,	PON
stanza	NOM
31	NUM
)	PON

