La	DET:def
descrizione	NOM
delle	PRE:det
caratteristiche	NOM
del	PRE:det
vaso	NOM
appartenente	VER:ppre
alla	PRE:det
collezione	NOM
di	PRE
Takuhiko	NOM
Fujita	NOM
(	PON
Tokyo	NPR
)	PON
e	CON
in	PRE
prestito	NOM
attualmente	ADV
al	PRE:det
Museo	NOM
Martin	NPR
von	NOM
Wagner	NOM
dell'	PRE:det
Università	NOM
di	PRE
Würzburg	NOM
,	PON
nonché	CON
un	DET:indef
confronto	NOM
sistematico	ADJ
con	PRE
altri	PRO:indef
esemplari	ADJ
di	PRE
coppe-skyphoi	VER:impe
di	PRE
simile	ADJ
manifattura	NOM
e	CON
di	PRE
decorazione	NOM
affine	ADJ
,	PON
consentono	VER:pres
un	DET:indef
suo	PRO:poss
inquadramento	NOM
morfologico	ADJ
e	CON
stilistico	ADJ
nella	PRE:det
produzione	NOM
vascolare	ADJ
precedente	ADJ
e	CON
contemporanea	ADJ

