Croisant	VER:ppre
en	PRP
mer	NOM
Égée	NAM
en	PRP
1802	NUM
,	PUN
le	DET:ART
commandant	NOM
Donnelly	NAM
a	VER:pres
transporté	VER:pper
Lord	NAM
Elgin	NAM
à	PRP
son	DET:POS
bord	NOM
jusqu'	PRP
à	PRP
Samos	NAM
,	PUN
puis	ADV
poursuivi	VER:pper
sa	DET:POS
route	NOM
vers	PRP
Alexandrie	NAM
.	SENT

Dans	PRP
les	DET:ART
réserves	NOM
du	PRP:det
British	NAM
Museum	NAM
,	PUN
on	PRO:PER
peut	VER:pres
identifier	VER:infi
les	DET:ART
sculptures	NOM
embarquées	VER:pper
au	PRP:det
cours	NOM
de	PRP
ce	PRO:DEM
voyage	NOM
.	SENT

Elgin	NAM
fit	VER:simp
notamment	ADV
l'	DET:ART
acquisition	NOM
d'	PRP
un	DET:ART
autel	NOM
à	PRP
Rhénée	NAM
(	PUN
BM	NAM
Cat.	NAM
Sculpt	NAM
.	SENT
2480	NUM
)	PUN
,	PUN
datable	ADJ
de	PRP
la	DET:ART
fin	NOM
du	PRP:det
2e	NUM
s.	ABR
av	NOM
.	SENT

J.	ABR
-C	ADJ
.	SENT
,	PUN
et	KON
Donnelly	NAM
achetait	VER:impf
des	PRP:det
antiquités	NOM
pour	PRP
Lord	NAM
Spencer	NAM
,	PUN
son	DET:POS
protecteur	NOM
,	PUN
qui	PRO:REL
les	PRO:PER
a	VER:pres
ensuite	ADV
offertes	VER:pper
au	PRP:det
musée	NOM
.	SENT

On	PRO:PER
reconnaît	VER:pres
ainsi	ADV
une	DET:ART
statue	NOM
féminine	ADJ
acéphale	ADJ
,	PUN
d'	PRP
époque	NOM
hellénistique	ADJ
,	PUN
et	KON
celle	PRO:DEM
d'	PRP
un	DET:ART
jeune	ADJ
romain	ADJ
,	PUN
sans	PRP
tête	NOM
non	ADV
plus	ADV
,	PUN
d'	PRP
origine	NOM
alexandrine	ADJ
(	PUN
BM	NAM
Cat.	NAM
Sculpt	NAM
.	SENT
2064	NUM
et	KON
2043	NUM
)	PUN
.	SENT

À	PRP
Délos	NAM
,	PUN
il	PRO:PER
avait	VER:impf
acquis	VER:pper
un	DET:ART
autel	NOM
circulaire	ADJ
orné	VER:pper
d'	PRP
une	DET:ART
ronde	NOM
de	PRP
8	NUM
danseuses	NOM
,	PUN
qui	PRO:REL
appartient	VER:pres
à	PRP
un	DET:ART
type	NOM
bien	ADV
attesté	VER:pper
au	PRP:det
2e	NUM
s.	ABR
av	NOM
.	SENT

J.	ABR
-C	ADJ
.	SENT

(	PUN
BM	NAM
Cat.	NAM
Sculpt	NAM
.	SENT
2485	NUM
)	PUN
.	SENT

La	DET:ART
pièce	NOM
provient	VER:pres
très	ADV
certainement	ADV
du	PRP:det
prytanée	NOM
de	PRP
l'	DET:ART
île	NOM
,	PUN
étudié	VER:pper
en	PRP
dernier	ADJ
lieu	NOM
par	PRP
R.	ABR
Étienne	NAM
(	PUN
=>	ABR
68-07824	NUM
)	PUN
.	SENT

Sa	DET:POS
dédicace	NOM
mentionne	VER:pres
un	DET:ART
certain	PRO:IND
Zopyros	NOM
,	PUN
connu	VER:pper
par	PRP
ailleurs	ADV
,	PUN
et	KON
qui	PRO:REL
aurait	VER:cond
offert	VER:pper
cet	PRO:DEM
autel	NOM
à	PRP
Hestia	NAM
et	KON
au	PRP:det
Démos	NOM

