Ces	PRO:DEM
casques	NOM
en	PRP
céramique	NOM
ou	KON
en	PRP
métal	NOM
,	PUN
dont	PRO:REL
la	DET:ART
majorité	NOM
provient	VER:pres
des	PRP:det
nécropoles	NOM
de	PRP
Véiès	NAM
,	PUN
pourraient	VER:cond
symboliser	VER:infi
la	DET:ART
déesse	NOM
qui	PRO:REL
donne	VER:pres
la	DET:ART
mort	NOM
à	PRP
la	DET:ART
lune	NOM
décroissante	ADJ
et	KON
fait	VER:pres
naître	VER:infi
la	DET:ART
nouvelle	ADJ
lune	NOM
.	SENT

Ils	PRO:PER
renvoient	VER:pres
peut-être	ADV
à	PRP
la	DET:ART
déesse	NOM
étrusque	ADJ
Menerva	NAM
qui	PRO:REL
,	PUN
casquée	VER:pper
,	PUN
présente	ADJ
des	PRP:det
aspects	NOM
chthoniens	ADJ

