Se	SE
da	VLfin
a	PREP
conocer	VLinf
un	ART
nuevo	ADJ
fragmento	NC
de	PREP
friso	NC
dórico	ADJ
con	PREP
representación	NC
de	PREP
un	ART
bóvido	ADJ
,	CM
hallado	VLadj
en	PREP
algún	QU
lugar	NC
impreciso	ADJ
de	PREP
El	ART
Guijo	NC
,	CM
y	CC
datado	VLadj
probablemente	ADV
en	PREP
época	NC
de	PREP
Augusto	NP
.	FS

El	ART
ejemplar	ADJ
constituye	VLfin
el	ART
primer	ORD
testimonio	NC
de	PREP
este	DM
tipo	NC
de	PREP
composición	NC
en	PREP
el	ART
ámbito	NC
de	PREP
la	ART
«	SYM
Prouincia	NC
Ulterior	ADJ
Baetica	NP
»	SYM

