Questa	PRO:demo
villa	NOM
transtiberina	ADJ
,	PON
sita	ADJ
nella	PRE:det
XIV	NUM
Regio	NOM
Augusta	NOM
e	CON
scoperta	NOM
nel	PRE:det
1879	NUM
,	PON
è	VER:pres
un	DET:indef
significativo	ADJ
esempio	NOM
di	PRE
ripresa	NOM
ed	CON
elaborazione	NOM
delle	PRE:det
complesse	ADJ
relazioni	NOM
che	PRO:rela
in	PRE
ambito	NOM
ellenistico	ADJ
legano	VER:pres
in	PRE
modo	NOM
armonico	ADJ
soluzioni	NOM
architettoniche	ADJ
e	CON
paesaggio	NOM
urbano	ADJ
.	SENT

Molte	PRO:indef
delle	PRE:det
sue	PRO:poss
strutture	NOM
sono	VER:pres
infatti	ADV
realizzate	VER:pper
per	PRE
garantire	VER:infi
la	DET:def
godibilità	NOM
del	PRE:det
paesaggio	NOM
circostante	ADJ
,	PON
attraverso	PRE
l'	DET:def
utilizzo	NOM
di	PRE
ambienti	NOM
suggestivi	ADJ
e	CON
l'	DET:def
esaltazione	NOM
di	PRE
assi	NOM
visivi	ADJ
particolari	ADJ

