Lors	ADV
de	PRP
la	DET:ART
fouille	NOM
de	PRP
1992-1993	NUM
,	PUN
un	DET:ART
ensemble	NOM
de	PRP
93	NUM
médaillons	NOM
d'	PRP
applique	NOM
rhodaniens	ADJ
,	PUN
en	PRP
sigillée	ADJ
claire	NOM
B	NAM
,	PUN
ont	VER:pres
été	VER:pper
exhumés	VER:pper
dans	PRP
divers	ADJ
contextes	NOM
des	PRP:det
2e-4e	NOM
s.	VER:cond
Plusieurs	NOM
sont	VER:pres
légendés	VER:pper
en	PRP
latin	NOM
ou	KON
portent	VER:pres
la	DET:ART
signature	NOM
des	PRP:det
modeleurs	NOM
.	SENT

Nouvelles	ADJ
hypothèses	NOM
relatives	ADJ
à	PRP
la	DET:ART
nature	NOM
des	PRP:det
sujets	NOM
traités	VER:pper
(	PUN
mythologie	NOM
,	PUN
jeux	NOM
,	PUN
scènes	NOM
érotiques	ADJ
,	PUN
masques	NOM
,	PUN
avec	PRP
des	PRP:det
motifs	NOM
inédits	ADJ
)	PUN
et	KON
aux	PRP:det
prototypes	NOM
iconographiques	ADJ
et	KON
techniques	ADJ

