Weder	KON
das	ART
Asyl	NN
bei	APPR
der	ART
Statue	NN
noch	ADV
das	ART
«	$(
portable	ADJA
asylum	NN
»	$(
(	$(
Abbildungen	NN
des	ART
Kaisers	NN
auf	APPR
Münzen	NN
etc.	ADV
)	$(
gewährten	ADJA
dauerhaften	ADJA
Schutz	NN
,	$,
da	KOUS
der	ART
Asylflüchtling	NN
,	$,
der	PRELS
sein	PPOSAT
Verhalten	NN
nicht	PTKNEG
rechtfertigen	VVINF
konnte	VMFIN
,	$,
mit	APPR
Strafe	NN
rechnen	VVINF
musste	VMFIN
.	$.

Durch	APPR
die	ART
behördliche	ADJA
Intervention	NN
wurde	VAFIN
jedoch	ADV
gelegentlich	ADJD
sicher	ADJD
gestellt	VVPP
,	$,
dass	KOUS
ein	ART
Verfolger	NN
seine	PPOSAT
soziale	ADJA
Macht	NN
nicht	PTKNEG
ausnutzte	VVFIN
,	$,
um	KOUI
mit	APPR
einer	ART
Person	NN
nach	APPR
Gutdünken	NN
zu	PTKZU
verfahren	VVINF
.	$.

Die	ART
grösste	ADJA
Bedeutung	NN
erlangte	VVFIN
das	ART
Asyl	NN
dabei	PAV
für	APPR
Sklaven	NN
,	$,
da	KOUS
es	PPER
ihnen	PPER
erstmalig	ADJD
Zugang	NN
zu	APPR
Rechtsschutz	NN
gegen	APPR
Eigentümer	NN
bot	VVFIN
,	$,
die	PRELS
die	ART
Mindeststandards	NN
der	ART
Sklavenbehandlung	NN
verletzten	VVFIN
.	$.

