Propose	VER:pres
,	PUN
pour	PRP
comparer	VER:infi
le	DET:ART
droit	NOM
romain	ADJ
et	KON
le	DET:ART
droit	NOM
du	PRP:det
Moyen-Âge	NAM
,	PUN
d'	PRP
observer	VER:infi
la	DET:ART
place	NOM
du	PRP:det
droit	NOM
dans	PRP
la	DET:ART
légitimation	NOM
du	PRP:det
pouvoir	NOM
et	KON
la	DET:ART
capacité	NOM
législative	ADJ
des	PRP:det
souverains	NOM
;	PUN
le	DET:ART
rôle	NOM
du	PRP:det
droit	NOM
dans	PRP
la	DET:ART
résolution	NOM
des	PRP:det
conflits	NOM
et	KON
la	DET:ART
place	NOM
de	PRP
la	DET:ART
violence	NOM
dans	PRP
les	DET:ART
deux	NUM
sociétés	NOM
;	PUN
le	DET:ART
rapport	NOM
entre	PRP
le	DET:ART
droit	NOM
et	KON
les	DET:ART
classes	NOM
dominantes	ADJ
à	PRP
Rome	NAM
et	KON
dans	PRP
l'	DET:ART
État	NAM
moderne	ADJ
et	KON
la	DET:ART
position	NOM
du	PRP:det
droit	NOM
dans	PRP
les	DET:ART
deux	NUM
cultures	NOM

