Ayant	VER:ppre
reçu	VER:pper
une	DET:ART
formation	NOM
rhétorique	ADJ
classique	ADJ
,	PUN
Basile	NAM
de	PRP
Césarée	NAM
,	PUN
Grégoire	NAM
de	PRP
Nazianze	NAM
et	KON
Jean	NAM
Chrysostome	NAM
comparent	VER:pres
aussi	ADV
en	PRP
juristes	NOM
les	DET:ART
lois	NOM
civiles	ADJ
et	KON
pénales	ADJ
aux	PRP:det
préceptes	NOM
de	PRP
la	DET:ART
religion	NOM
chrétienne	ADJ
.	SENT

Leur	DET:POS
critique	NOM
concerne	VER:pres
surtout	ADV
les	DET:ART
homicides	NOM
et	KON
le	DET:ART
droit	NOM
de	PRP
la	DET:ART
famille	NOM
,	PUN
notamment	ADV
le	DET:ART
mariage	NOM
.	SENT

La	DET:ART
réflexion	NOM
de	PRP
Basile	NAM
sur	PRP
le	DET:ART
but	NOM
de	PRP
la	DET:ART
peine	NOM
et	KON
sur	PRP
la	DET:ART
responsabilité	NOM
pénale	ADJ
est	VER:pres
extrêmement	ADV
novatrice	NOM
pour	PRP
l'	DET:ART
époque	NOM

