Lo	DET:def
stato	NOM
iniziale	ADJ
di	PRE
sospensione	NOM
della	PRE:det
consequenzialità	NOM
logico-espositiva	ADJ
propria	ADJ
dell'	PRE:det
area	NOM
di	PRE
confine	NOM
tra	PRE
filosofia	NOM
e	CON
poesia	NOM
appare	VER:pres
ispirato	VER:pper
in	PRE
Platone	NPR
,	PON
come	CON
in	PRE
Lucrezio	NOM
,	PON
da	PRE
un	DET:indef
meccanismo	NOM
che	PRO:rela
sembra	VER:pres
avere	VER:infi
origine	NOM
in	PRE
un	DET:indef
ritorno	NOM
all'	PRE:det
infanzia	NOM
compiuto	VER:pper
forse	ADV
nell'	PRE:det
intento	NOM
di	PRE
ripartire	VER:infi
da	PRE
zero	ADJ

