Du	PRP:det
3e	NUM
s.	ABR
av	NOM
.	SENT

J.	ABR
-C	ADJ
à	PRP
la	DET:ART
fin	NOM
de	PRP
la	DET:ART
République	NOM
.	SENT

Les	DET:ART
problèmes	NOM
posés	VER:pper
par	PRP
l'	DET:ART
assimilation	NOM
de	PRP
la	DET:ART
science	NOM
hellénique	ADJ
sont	VER:pres
de	PRP
deux	NUM
types	NOM
:	PUN
ouverture	NOM
graduelle	ADJ
et	KON
discontinue	ADJ
de	PRP
la	DET:ART
conscience	NOM
nationale	ADJ
,	PUN
représentée	VER:pper
par	PRP
l'	DET:ART
élite	NOM
culturelle	ADJ
;	PUN
élaboration	NOM
de	PRP
techniques	NOM
de	PRP
communication	NOM
appropriées	VER:pper

