Datant	VER:ppre
des	PRP:det
2e	NUM
et	KON
3e	NUM
s.	ABR
,	PUN
le	DET:ART
bâtiment	NOM
fortifié	VER:pper
comporte	VER:pres
trois	NUM
phases	NOM
de	PRP
construction	NOM
(	PUN
=>	ABR
68-07741	NUM
)	PUN
.	SENT

Les	DET:ART
briques	NOM
portent	VER:pres
des	PRP:det
empreintes	NOM
en	PRP
forme	NOM
d'	PRP
arc	NOM
,	PUN
de	PRP
demi-cercle	NOM
,	PUN
de	PRP
poisson	NOM
.	SENT

Elles	PRO:PER
livrent	VER:pres
des	PRP:det
informations	NOM
sur	PRP
le	DET:ART
fonctionnement	NOM
des	PRP:det
chantiers	NOM
et	KON
sur	PRP
la	DET:ART
chronologie	NOM
relative	ADJ
du	PRP:det
monument	NOM
.	SENT

Discussions	NOM
p.	ABR
171-176	NUM

