Thuc.	ABR	B-REFAUWORK
1	NUM	B-REFSCOPE
,	PON	I-REFSCOPE
25-135	NUM	I-REFSCOPE
evidenzia	VER:pres	O
temi	NOM	O
della	PRE:det	O
tradizione	NOM	O
spartana	ADJ	O
(	PON	O
accreditata	VER:pper	O
dalle	PRE:det	O
autorità	NOM	O
cittadine	ADJ	O
e	CON	O
riflesso	ADJ	O
delle	PRE:det	O
preoccupazioni	NOM	O
locali	ADJ	O
prima	ADJ	O
e	CON	O
dopo	ADV	O
la	DET:def	O
morte	NOM	O
di	PRE	O
Pausania	NOM	O
)	PON	O
e	CON	O
ateniese	ADJ	O
(	PON	O
finalizzata	VER:pper	O
a	PRE	O
sottolineare	VER:infi	O
l'	DET:def	O
incuria	NOM	O
di	PRE	O
Sparta	NOM	O
)	PON	O
;	PON	O
Erodoto	NOM	B-AAUTHOR
(	PON	O
cf	ADJ	O
.	SENT	O
5	NUM	B-REFSCOPE
,	PON	I-REFSCOPE
32	NUM	I-REFSCOPE
)	PON	I-REFSCOPE
offre	VER:pres	O
notizie	NOM	O
compatibili	ADJ	O
con	PRE	O
entrambe	ADJ	O
le	DET:def	O
tradizioni	NOM	O
