,id,title
0,75-00007,Some remarks on the trial of Isidorus and on Isidorus « Junior »
1,75-00011,Μιμητης θεοῦ in the « Epistle to Diognetus »
2,75-00012,«  Aegritudo Perdicae » 284ss. critica del testo ed esegesi
3,75-00013,Conjectures in the « Aegritudo Perdicae »
4,75-00014,Note testuali ed esegetiche alla « Varia Historia » di Claudio Eliano
5,75-00016,À propos d'Aspasie de Phocée
6,75-00017,L'«  Atalante » d'Élien
7,75-00020,Du bon usage des poètes dans les procès autour de l'ambassade à Philippe
8,75-00021,Le  papyrus d'Eschine P.Oxy. III 457 nouvelle mise au point
9,75-00025,Congetture ad Eschilo dalle edizioni cinquecentine
10,75-00028,Il  prologo delle « Eumenidi » eschilee Clitemestra immagine di sogno (vv. 104 s.)
11,75-00031,Riflessioni sulle « Coefore » di Hermann
12,75-00034,Premessa
13,75-00035,Les  montagnes dans les tragédies d'Eschyle. 1
14,75-00036,Les  montagnes dans les tragédies d'Eschyle. 2
15,75-00037,Les  montagnes dans les tragédies d'Eschyle. 3
16,75-00038,Les  montagnes dans les tragédies d'Eschyle. 4
17,75-00039,Les  montagnes dans les tragédies d'Eschyle. 5
18,75-00040,Pseudo-Aeschylus « Agamemnon » 1630-73 ; « Eumenides » 24-26
19,75-00042,Eschilo e Dioniso postille
20,75-00045,Aesch. Eum. 132 s.
21,75-00047,Simetría axial en el éxodo de « Prometeo encadenado » y en la párodo de « Persas »
22,75-00048,Alliteration in Aeschylus
23,75-00050,"Problemi di colometria Eschilo, « Prometeo » (vv. 526-44 ; 887-900) « Agamennone » (vv. 104-21)"
24,75-00053,"Le  filet, un « leitmotiv » dans l'« Orestie » d'Eschyle"
25,75-00054,All in the family funeral rites and the health of the οἶκος in Aeschylus' « Oresteia »
26,75-00055,Aeschylus' genealogy of morals
27,75-00056,La  composition architecturale des « Perses » d'Eschyle
28,75-00057,Il  canto virile delle vergini Aesch. Suppl. 418-37
29,75-00058,Aeschylus « Agamemnon » 1180-2 : a booster ?
30,75-00059,Clytaimestra's negatives and the final line of « Agamemnon »
31,75-00060,El  proceso por impiedad de Esquilo
32,75-00061,TrGF 2 Adesp. fr. 370 K.-Sn. : Aeschylus' « Psychagogoi » ?
33,75-00063,L' antica colometria di Aesch. Sept. 78-150 con alcune considerazioni di semantica metrica
34,75-00064,Considerazioni sulla « legge di Porson allargata » nei giambi lirici di Eschilo
35,75-00065,"Clitemestra e il coro riflessioni sceniche e testuali su Aesch., Ag. 489-502"
36,75-00066,"Metrica ed ecdotica eschilea colloquio internazionale, Trento, 10-12 ottobre 2002"
37,75-00067,Metrica ed ecdotica eschilea
38,75-00068,Sulla tradizione indiretta e la composizione dei versi 592-94 dei « Sette a Tebe » di Eschilo
39,75-00070,L' Oreste d'Eschyle un justicier ou un initié ? 1
40,75-00071,L' Oreste d'Eschyle un justicier ou un initié ? 2
41,75-00072,La «  parodos » des « Choéphores » d'Eschyle (v. 22-83)
42,75-00074,A proposito di Aesch. Sept. 196-202
43,75-00075,Aesch. Sept. 231
44,75-00076,L' amaro letto delle vergini (Aesch. Sept. 363 ss.)
45,75-00077,Normalizzazione metrica e sintattica in Aesch. Cho. 639 ss.
46,75-00078,Osservazioni sulla metrica nelle tragedie di Eschilo
47,75-00079,Presenças de « Eros » em Ésquilo
48,75-00080,Il  mondo alla rovescia nel I stasimo delle « Coefore » di Eschilo
49,75-00081,Alcune considerazioni sul verso 239 dell'« Agamennone » di Eschilo
50,75-00082,O  fogo de Prometeu
51,75-00084,Aesch. PV 313 χόλον
52,75-00085,Visualization and « Deixis am Phantasma » in Aeschylus' « Persae »
53,75-00087,"Aeschylus, « Agamemnon » 173-185 and 205-217"
54,75-00088,"Aeschylus, « Agamemnon » 681-716"
55,75-00089,La  représentation de la mer dans les « Perses » d'Eschyle
56,75-00090,Aischylos und Homer
57,75-00095,La  favola esopica antica fissità o evoluzione ? : da Esiodo alle parafrasi medievali
58,75-00098,Agatarchide di Cnido e i commenti ai poeti testimonianze sulla formazione degli scoli ad Euripide e su Elena in Stesicoro
59,75-00100,Agathias and the date of Zoroaster
60,75-00102,Espaces centuriés et non centuriés des colonies sous le Haut-Empire romain d'après les écrits d'arpentage latins
61,75-00103,"Dalla biblioteca privata del giurista Jean Matal (Metellus Sequanus, 1510 ca.-1597) una copia annotata della « princeps » turnebiana dei « Gromatici » (codici latini d'agrimensura perduti o non identificati : notizie umanistiche e dati filologici. 2)"
62,75-00104,«  Navigare necesse » esplorando il frammento di Pedone Albinovano
63,75-00106,"Alceo, fr. 69 L.-P., 69 V."
64,75-00108,La  vertu comme « chose divine » chez Alcinoos
65,75-00109,La  expresión del lamento en la epistolografía griega de tema erótico a la luz de las teorías retóricas griegas las cartas de Alcifrón
66,75-00110,Un  fragment de l'épopée scythe « le cheval de Colaxaïs » dans un partheneion d'Alcman
67,75-00111,Initiating the viewer deixis and visual perception in Alcman's lyric drama
68,75-00112,Alcman fr. 26 a wish for fame
69,75-00113,St Aldhelm's bees (De uirginitate prosa cc. IV-VI) some observations on a literary tradition
70,75-00114,Euripide in Alessandro Etolo (fr. 7 Magnelli) una nuova ipotesi
71,75-00122,Alexander of Aphrodisias as a textual witness the commentary on the « De Sensu »
72,75-00123,Epigraphic evidence for the philosopher Alexander of Aphrodisias
73,75-00124,I  movimenti dei corpi celesti nel commento dello pseudo-Alessandro alla « Metafisica » di Aristotele
74,75-00129,Ersilia come Giocasta nota al fr. 1 di Alfio Avito
75,75-00137,"«  Ad imperatorem palatia pertinent, ad sacerdotem ecclesiae » la teologia politica di Ambrogio nei primi dodici anni del suo episcopato (374-386)"
76,75-00140,Ambrosius in Rom
