"URI","TYPE","TEXT"
"/cwkb/authors/2686","default",""Epistula episcoporum Leonis, Uicturi et Eustochi ad episcopos et presbyteros infra tertiam prouinciam constitutos""
"/cwkb/authors/2769","default",""Passio sanctorum martyrum Fructuosi episcopi, Auguri et Eulogi diaconorum""
"/cwkb/authors/2402","default","[Homerus]"
"/cwkb/authors/422","default","A. Cascellius"
"/cwkb/authors/422","lat","Cascellius‏ Iurisconsultus‏"
"/cwkb/authors/422","abbr","Cascell."
"/cwkb/authors/422","eng","Cascellius‏ Jurist"
"/cwkb/authors/429","default","A. Cornelius Celsus"
"/cwkb/authors/429","lat","Aurelius Cornelius Celsus"
"/cwkb/authors/429","abbr","Cels."
"/cwkb/authors/429","fre","Celse"
"/cwkb/authors/429","blank","Aulo Cornelio Celso"
"/cwkb/authors/452","ger","Cremutius Cordus‏ Geschichtsschreiber"
"/cwkb/authors/452","eng","Cremutius Cordus‏ Historian‏ "
"/cwkb/authors/452","default","A. Cremutius Cordus"
"/cwkb/authors/452","ita","Cremuzio Cordo"
"/cwkb/authors/452","abbr","Cremut."
"/cwkb/authors/452","lat","Cremutius Cordus‏ ‎Historicus"
"/cwkb/authors/452","spa","Aulo Cremutio Cordo"
"/cwkb/authors/476","default","A. Furius Antias"
"/cwkb/authors/476","lat","A. Furius"
"/cwkb/authors/476","ita","Aulo Furio di Anzio"
"/cwkb/authors/476","abbr","Fur. Ant."
"/cwkb/authors/476","spa","Aulo Furio Antias"
"/cwkb/authors/484","fre","Aulu-Gelle"
"/cwkb/authors/484","default","A. Gellius"
"/cwkb/authors/484","ita","Aulo Gellio"
"/cwkb/authors/484","abbr","Gell."
"/cwkb/authors/484","lat","Agellius Aulus"
"/cwkb/authors/484","spa","Aulo Gelio"
"/cwkb/authors/497","default","A. Hirtius"
"/cwkb/authors/497","lat","Aulus Hirtius Pansa"
"/cwkb/authors/497","abbr","Hirt."
"/cwkb/authors/578","fre","Perse"
"/cwkb/authors/578","default","A. Persius Flaccus"
"/cwkb/authors/578","ita","Aulo Persio Flacco"
"/cwkb/authors/578","abbr","Pers."
"/cwkb/authors/578","lat","Persius"
"/cwkb/authors/578","spa","Aulo Persio Flaco"
"/cwkb/authors/595","default","A. Postumius Albinus"
"/cwkb/authors/595","lat","Aulus Postumius Albinus"
"/cwkb/authors/595","abbr","Postum."
"/cwkb/authors/2438","default","AÃƒÂ«tius Amidenus"
"/cwkb/authors/1391","default","AÃƒÂ«tius Doxographus"
"/cwkb/authors/357","default","Ablabius"
"/cwkb/authors/357","abbr","Ablab."
"/cwkb/authors/357","eng","Ablanius"
"/cwkb/authors/2540","default","Acesander"
"/cwkb/authors/1137","default","Achilles Tatius Astronomus"
"/cwkb/authors/1137","blank","Achilleus Tatios"
"/cwkb/authors/1137","abbr","Ach. Tat."
"/cwkb/authors/1137","ita","Achille Tazio"
"/cwkb/authors/1138","fre","Achille Tatius"
"/cwkb/authors/1138","default","Achilles Tatius Scriptor eroticus"
"/cwkb/authors/1138","ita","Achille Tazio"
"/cwkb/authors/1138","gre","Ἀχιλλεὺς Τάτιος‏"
"/cwkb/authors/1138","abbr","Ach.Tat."
"/cwkb/authors/1138","lat","Achilles Tatius"
"/cwkb/authors/1138","spa","Aquiles Tacio"
"/cwkb/authors/706","default","Acta Alexandrinorum"
"/cwkb/authors/707","default","Acta et Martyrium Apollonii"
"/cwkb/authors/708","default","Acta Scillitanorum Martyrum"
"/cwkb/authors/709","default","Acta Xanthippae et Polyxenae"
"/cwkb/authors/2508","default","Acusilaus"
"/cwkb/authors/710","default","Adamantius"
"/cwkb/authors/710","abbr","Adam."
"/cwkb/authors/711","default","Adamantius Judaeus"
"/cwkb/authors/711","gre","Ἀδαμάντιος"
"/cwkb/authors/711","abbr","Adam."
"/cwkb/authors/711","fre","Adamant"
"/cwkb/authors/2781","default","Adamnanus Hiensis"
"/cwkb/authors/712","default","Adrianus"
"/cwkb/authors/713","default","Aegimius"
"/cwkb/authors/2407","default","Aegritudo perdicae"
"/cwkb/authors/714","default","Aelianus Tacticus"
"/cwkb/authors/714","gre","Αἰλιανὸς ὁ Τακτικός"
"/cwkb/authors/714","abbr","Ael."
"/cwkb/authors/714","fre","Élien le tacticien"
"/cwkb/authors/714","ita","Eliano Tattico"
"/cwkb/authors/1445","default","Aelius Aristides"
"/cwkb/authors/1445","lat","Publius Aelius Aristides"
"/cwkb/authors/1445","blank","Aristides"
"/cwkb/authors/1445","abbr","Aristid."
"/cwkb/authors/1445","spa","Elio Arístides"
"/cwkb/authors/1363","default","Aelius Donatus"
"/cwkb/authors/635","default","Aelius Praeconinus Stilo"
"/cwkb/authors/635","lat","Lucius Aelius Praeconinus Stilo grammaticus"
"/cwkb/authors/635","abbr","L. Aelius Praeconinus Stilo"
"/cwkb/authors/715","default","Aelius Theon"
"/cwkb/authors/715","spa","Teón, Elio"
"/cwkb/authors/715","ita","Teone, Elio"
"/cwkb/authors/715","fre","Théon, Aelius"
"/cwkb/authors/715","blank","Theo"
"/cwkb/authors/384","default","Aemilius Asper"
"/cwkb/authors/575","default","Aemilius L. f. M. n. Paulus"
"/cwkb/authors/530","default","Aemilius Macer"
"/cwkb/authors/530","lat","Aemilius Macer Veronensis"
"/cwkb/authors/530","abbr","Macer"
"/cwkb/authors/360","default","Aemilius Sura"
"/cwkb/authors/360","lat","Sura, Aemilius"
"/cwkb/authors/716","ger","Äneas"
"/cwkb/authors/716","fre","Énée le Tacticien"
"/cwkb/authors/716","default","Aeneas"
"/cwkb/authors/716","ita","Enea Tattico"
"/cwkb/authors/716","abbr","Aen.Tact."
"/cwkb/authors/716","blank","Aeneas Tacticus"
"/cwkb/authors/716","spa","Eneas, el Táctico"
"/cwkb/authors/2408","default","Aeneas Gazaeus"
"/cwkb/authors/717","default","Aeschines"
"/cwkb/authors/717","abbr","Aeschin."
"/cwkb/authors/717","fre","Eschine"
"/cwkb/authors/2634","default","Aeschines Socraticus"
"/cwkb/authors/718","default","Aeschrion"
"/cwkb/authors/719","ger","Äschylus"
"/cwkb/authors/719","fre","Eschyle"
"/cwkb/authors/719","default","Aeschylus"
"/cwkb/authors/719","ita","Eschilo"
"/cwkb/authors/719","abbr","A."
"/cwkb/authors/719","blank","Aeschylus"
"/cwkb/authors/719","spa","Esquilo"
"/cwkb/authors/2840","default","Aesopus"
"/cwkb/authors/2840","ger","Äsop"
"/cwkb/authors/2840","ita","Esopo"
"/cwkb/authors/2840","fre","Ésope"
"/cwkb/authors/2840","eng","Aesop"
"/cwkb/authors/720","default","Aethiopis"
"/cwkb/authors/1339","default","Aetna (Appendix Vergiliana)"
"/cwkb/authors/361","default","Afranius"
"/cwkb/authors/361","lat","Lucius Afranius"
"/cwkb/authors/361","abbr","Afran."
"/cwkb/authors/361","ita","Afranio, Lucio"
"/cwkb/authors/721","default","Agathangelus"
"/cwkb/authors/721","abbr","Agathan."
"/cwkb/authors/721","fre","Agathange"
"/cwkb/authors/721","blank","Agathangelos"
"/cwkb/authors/722","ger","Agatharchide von Knidos"
"/cwkb/authors/722","fre","Agatharchide de Cnide"
"/cwkb/authors/722","eng","Agatharcides of Cnidus"
"/cwkb/authors/722","default","Agatharchides Cnidius"
"/cwkb/authors/722","abbr","Agatharch."
"/cwkb/authors/722","blank","Agatharchides"
"/cwkb/authors/1428","default","Agathias Scholasticus"
"/cwkb/authors/1428","lat","Agathias Asianus"
