URL (For Author or Uniform title) or URI,LC # / VIAF URI,LC NAME/TITLE or VIAF AUTHOR NAME,OLD AUTHOR NAME,LS AUTHOR NAME,PHI AUTHOR NAME,OLD AUTHOR NAME ABBREVIATION,LS AUTHOR NAME ABBREVIATION,A&G AUTHOR NAME ABBREVIATION,WORK TITLE,OLD ABBREVIATED TITLE,LS ABBREVIATED TITLE,A&G ABBREVIATED TITLE,OLD STANDARD EDITION,WE OWN?,TLL Standard Edition,WE OWN?,LS STANDARD EDITION,WE OWN?,PHI#,STOA#,PERSEUS HAS THIS WORK,Other identifier,NOTE,URL
http://viaf.org/viaf/71750055,71750055,"Abbo Metensis ca. ca. 627 - 643
                           ",none,none,none,none,none,none,Epistola ad Desiderium,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0001-stoa001,no,,Author added due to presence on original STOA list,
http://viaf.org/viaf/317274829,317274829,"Abelard, Peter",none,none,none,none,none,none,Dialogus,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0002-stoa001,no,,Author added due to presence on original STOA list,
http://viaf.org/viaf/317274829,317274829,"Abelard, Peter",none,none,none,none,none,none,Historia calamitatum,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0002-stoa002,no,,,
http://viaf.org/viaf/317274829,317274829,"Abelard, Peter",none,none,none,none,none,none,Theologia,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0002-stoa003,no,,,
http://viaf.org/viaf/317274829,317274829,"Abelard, Peter",none,none,none,none,none,none,Epistulae,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0002-stoa004,yes,,,
http://id.loc.gov/authorities/names/nr95020708,nr95-20708,Ablabius,none,none,Ablabius,none,none,none,Epigramma ,none,none,none,none,yes,none,n.a.,none,n.a.,2000.1,none,yes,,,
http://id.loc.gov/authorities/names/nr95020708,nr95-20708,Ablabius,none,none,Ablabius,none,none,none,Epistula de iure civitatis Orcistenorum,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0003-stoa002,no,,,
http://viaf.org/viaf/305392494/,305392494,Acholius,none,none,none,none,none,none,Acta,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0004-stoa001,yes,,,
http://viaf.org/viaf/305392494/,305392494,Acholius,none,none,none,none,none,none,Vita Alexandri Severi,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0004-stoa002,yes,,,
http://errol.oclc.org/laf/n80-125819.html,n80-125819,"Accius, Lucius",L. Accius,L. Accius / L. Attius,L. Accius,ACC.,Acc.,none,Poeta/Carmina,ACC. poet. 26 (28) ,none,none,Morel T 1927 (Fragmenta Poetarum Latinorum),no-not in public domain,"FPR, Baehrens (Teubner 1886)",yes,Rib. ,yes-we have scanned,400.1,none,yes,,,
http://errol.oclc.org/laf/n80-125819.html,n80-125819,"Accius, Lucius",L. Accius,L. Accius / L. Attius,L. Accius,ACC.,Acc.,none,Praetextae,ACC.  praet. 42 ,none,none,"Ribbeck T 1897 (Scaenicae Romanorum poesis fragmenta, Vol I)",yes,same as OLD,yes,Rib. ,yes-we have scanned,400.2,none,yes,,,
http://errol.oclc.org/laf/n80-125819.html,n80-125819,"Accius, Lucius",L. Accius,L. Accius / L. Attius,L. Accius,ACC.,Acc.,none,Tragoediae,ACC. trag. 696,none,none,"Ribbeck T 1897 (Scaenicae Romanorum poesis fragmenta, Vol I)",yes,same as OLD,yes,Rib. ,yes-we have scanned,400.3,none,yes,,,
http://errol.oclc.org/laf/nr97-44694.html,nr97-44694,Pseudo-Acro,,none(not in list),none,none,Acro,none,Commentarii in Q. Horatium Flaccum,none,Acro,none,none,n.a.,"Pauly 1858, Hauthal 1864, Usner 1863, Kurschat Horazsholien 1884",no-need to obtain,"Hauthal?, Meyer?",yes,none,stoa0004a-stoa001,yes,,,
http://errol.oclc.org/laf/nr97-44694.html,nr97-44694,Pseudo-Acro,none,none(not in list),none,none,Acro,none,Commentum in Horati Carmina,none,Acro,none,none,n.a.,"Pauly 1858, Hauthal 1864, Usner 1863, Kurschat Horazsholien 1884",no-need to obtain,"Hauthal?, Meyer?",yes,none,stoa0004a-stoa001,yes,,,
http://errol.oclc.org/laf/nr97-44694.html,nr97-44694,Pseudo-Acro,none,none(not in list),none,none,Acro,none,Comment. in Hor. Carm. Saec.,none,Acro,none,none,n.a.,"Pauly 1858, Hauthal 1864, Usner 1863, Kurschat Horazsholien 1884",no-need to obtain,"Hauthal?, Meyer?",yes,none,stoa0004a-stoa002,yes,,,
http://errol.oclc.org/laf/nr97-44694.html,nr97-44694,Pseudo-Acro,none,none(not in list),none,none,Acro,none,Commentum in Horati Epodos,none,Acro,none,none,n.a.,"Pauly 1858, Hauthal 1864, Usner 1863, Kurschat Horazsholien 1884",no-need to obtain,"Hauthal?, Meyer?",yes,none,stoa0004a-stoa003,yes,,,
http://errol.oclc.org/laf/nr97-44694.html,nr97-44694,Pseudo-Acro,none,none(not in list),none,none,Acro,none,Commentum in Horati Sermones,none,Acro,none,none,n.a.,"Pauly 1858, Hauthal 1864, Usner 1863, Kurschat Horazsholien 1884",no-need to obtain,"Hauthal?, Meyer?",yes,none,stoa0004a-stoa004,yes,,,
