urn,name,cts_namespace,cts_id_prefix,cts_id,viaf_id,lccn,wikidata_id,wikipedia_url_en,wikipedia_url_es,wikipedia_url_de,wikipedia_url_it,wikipedia_url_fr
urn:cts:greekLit:tlg0099,"HucitAuthor (names=[Strabon (@de),Strabo (@la),Strabone (@it)],urn=urn:cts:greekLit:tlg0099)",greekLit,tlg,0099,100219883,None,Q45936,https://en.wikipedia.org/wiki/Strabo,https://es.wikipedia.org/wiki/Estrabón,https://de.wikipedia.org/wiki/Strabon,https://it.wikipedia.org/wiki/Strabone,https://fr.wikipedia.org/wiki/Strabon
urn:cts:greekLit:tlg2045,"HucitAuthor (names=[Nonnus Panapolitanus (@la),Nonnus Of Panopolis (@en),Nonnus (@la),Nonno (@it),Nonnos (@None),Nonnus De Panopolis (@fr),Nonnus Epicus (@la),Nonno Di Panopoli (@it),Nonnos De Panopolis (@fr),Nonnos Von Panopolis (@de)],urn=urn:cts:greekLit:tlg2045)",greekLit,tlg,2045,None,None,None,None,None,None,None,None
urn:cts:latinLit:phi0690,"HucitAuthor (names=[Vergil (@None),Publius Virgilius Maro (@la),P. Vergilius Maro (@la),Publius Vergilius Maro (@la),Publio Virgilio Marone (@it),P. Virgilius Maro (@la),Virgil (@en),Virgile (@fr),Publio Virgilio Marón (@es)],urn=urn:cts:latinLit:phi0690)",latinLit,phi,0690,8194433,None,Q1398,https://en.wikipedia.org/wiki/Virgil,https://es.wikipedia.org/wiki/Virgilio,https://de.wikipedia.org/wiki/Vergil,https://it.wikipedia.org/wiki/Publio_Virgilio_Marone,https://fr.wikipedia.org/wiki/Virgile
urn:cts:greekLit:tlg0024,"HucitAuthor (names=[Oppien De Syrie (@fr),Oppianos (@None),Oppien (@None),Oppiano (@None),Oppianus (@None),Oppian (@None),Oppien D'Apamée (@fr),Oppian Von Apameia (@de),Oppian Of Apamea (@en),Oppianus Apamensis (@la),Oppiano Di Apamea (@it)],urn=urn:cts:greekLit:tlg0024)",greekLit,tlg,0024,100036127,None,None,None,None,None,None,None
urn:cts:greekLit:tlg0001,"HucitAuthor (names=[Apolonio De Rodas (@es),Apollonius (@None),Apollonio (@it),Apollonius The Rhodian (@en),Apollonios (@de),Apollonios De Rhodes (@fr),Apollonius Rhodius (@la),Apollonius Of Rhodes (@en),Apolonio (@None),Apollonios Von Rhodos (@de)],urn=urn:cts:greekLit:tlg0001)",greekLit,tlg,0001,262974255,None,Q192638,https://en.wikipedia.org/wiki/Apollonius_of_Rhodes,https://es.wikipedia.org/wiki/Apolonio_de_Rodas,https://de.wikipedia.org/wiki/Apollonios_von_Rhodos,https://it.wikipedia.org/wiki/Apollonio_Rodio,https://fr.wikipedia.org/wiki/Apollonios_de_Rhodes
urn:cts:greekLit:tlg0034,"HucitAuthor (names=[Lycurgus (@la),Lycurgue (@fr),Lykurgos (@None),Licurgo (@it)],urn=urn:cts:greekLit:tlg0034)",greekLit,tlg,0034,268590928,None,Q373685,https://en.wikipedia.org/wiki/Lycurgus_of_Athens,https://es.wikipedia.org/wiki/Licurgo_(orador),https://de.wikipedia.org/wiki/Lykurgos_von_Athen,https://it.wikipedia.org/wiki/Licurgo_di_Atene,https://fr.wikipedia.org/wiki/Lycurgue_(orateur)
urn:cts:greekLit:tlg0363,"HucitAuthor (names=[Ptolemaeus (@None),Ptolemy (@en),Claudius Ptolemaeus (@la),Claudio Tolomeo (@it),Claudius Ptolemäus (@de),Claudio Ptolomeo (@es),Ptolémée (@fr),Ptolemeo (@it),Ptolemaios (@None),Ptolémée Claude (@fr),Ptolemaios Klaudios (@None)],urn=urn:cts:greekLit:tlg0363)",greekLit,tlg,0363,54152998,None,Q34943,https://en.wikipedia.org/wiki/Ptolemy,https://es.wikipedia.org/wiki/Claudio_Ptolomeo,https://de.wikipedia.org/wiki/Claudius_Ptolemäus,https://it.wikipedia.org/wiki/Claudio_Tolomeo,https://fr.wikipedia.org/wiki/Claude_Ptolémée
urn:cts:greekLit:tlg0016,"HucitAuthor (names=[Herodotus Historicus (@la),Hérodote (@fr),Herodotus (@la),Erodoto (@it),Herodot (@de)],urn=urn:cts:greekLit:tlg0016)",greekLit,tlg,0016,100225976,None,Q26825,https://en.wikipedia.org/wiki/Herodotus,https://es.wikipedia.org/wiki/Heródoto,https://de.wikipedia.org/wiki/Herodot,https://it.wikipedia.org/wiki/Erodoto,https://fr.wikipedia.org/wiki/Hérodote
urn:cts:latinLit:phi0917,"HucitAuthor (names=[M. Annaeus Lucanus (@la),M. Annaeus Lucanus Poeta (@la),Lucain (@fr),Marco Anneo Lucano (@None),Marcus Annaeus Lucanus (@la),Lukan (@de),Lucan (@en)],urn=urn:cts:latinLit:phi0917)",latinLit,phi,0917,100902938,None,Q188646,https://en.wikipedia.org/wiki/Lucan,https://es.wikipedia.org/wiki/Marco_Anneo_Lucano,https://de.wikipedia.org/wiki/Marcus_Annaeus_Lucanus,https://it.wikipedia.org/wiki/Marco_Anneo_Lucano,https://fr.wikipedia.org/wiki/Lucain
urn:cts:greekLit:tlg2934,"HucitAuthor (names=[Joannes Damascenus (@la),Joannes (@None)],urn=urn:cts:greekLit:tlg2934)",greekLit,tlg,2934,44435485,None,Q51884,https://en.wikipedia.org/wiki/John_of_Damascus,https://es.wikipedia.org/wiki/Juan_Damasceno,https://de.wikipedia.org/wiki/Johannes_von_Damaskus,https://it.wikipedia.org/wiki/Giovanni_Damasceno,https://fr.wikipedia.org/wiki/Jean_Damascène
urn:cts:greekLit:tlg0020,"HucitAuthor (names=[Hesiod (@en),Esiodo (@it),Hesiodus Epicus (@la),Hésiode (@fr),Hesiodus (@la),Hesiodos (@None)],urn=urn:cts:greekLit:tlg0020)",greekLit,tlg,0020,122220717,None,Q44233,https://en.wikipedia.org/wiki/Hesiod,https://es.wikipedia.org/wiki/Hesíodo,https://de.wikipedia.org/wiki/Hesiod,https://it.wikipedia.org/wiki/Esiodo,https://fr.wikipedia.org/wiki/Hésiode
